LABELS
SEPARATOR COMMA
DATA
NODE_ID,LABEL,CLASS
A0A847F7V9,Sandaracinaceae bacterium
A0A538A5H0,Actinomycetes bacterium
A0A5B7AT03,Davidia involucrata (Dove tree)
A0A5J5VHC7,Gossypium barbadense (Sea Island cotton) (Hibiscus barbadensis)
A0A5Q4F1K6,Gammaproteobacteria bacterium
A0A6G0WTG2,Aphanomyces euteiches
A0A6G1F9W2,Oryza meyeriana var. granulata
A0A6N2B4S0,Solanum chilense (Tomato) (Lycopersicon chilense)
A0A6V7NZ61,Ananas comosus var. bracteatus
A0A7C5S8C8,Chlorobiota bacterium
A0A7V5M4M5,bacterium
A0A812DDW5,Sepia pharaonis (Pharaoh cuttlefish)
A0A833W9Y0,Phytophthora infestans (Potato late blight agent) (Botrytis infestans)
A0A835YLS3,Edaphochlamys debaryana
A9SYZ5,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
C9J7B8,Homo sapiens (Human)
D8LAW9,Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)
E1ZLS6,Chlorella variabilis (Green alga)
I1KBQ6,Glycine max (Soybean) (Glycine hispida)
M1UMV1,Cyanidioschyzon merolae (strain NIES-3377 / 10D) (Unicellular red alga)
Q10AX3,Oryza sativa subsp. japonica (Rice)
R7W4T2,Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa)
Q9C5A5,Arabidopsis thaliana (Mouse-ear cress)
A0A452J3I8,Gopherus agassizii (Agassiz's desert tortoise)
A0A663DRH4,Aquila chrysaetos chrysaetos
A0A6J1VYX1,Notechis scutatus (mainland tiger snake)
A0A6J3E8G0,Aythya fuligula (Tufted duck) (Anas fuligula)
A0A7C8YLT5,Opuntia streptacantha (Prickly pear cactus) (Opuntia cardona)
A0A7J7INZ2,Cyanidiococcus yangmingshanensis
B3MIX6,Drosophila ananassae (Fruit fly)
V5EQ17,Kalmanozyma brasiliensis (strain GHG001) (Yeast) (Pseudozyma brasiliensis)
A0A022R561,Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)
A0A078GKK0,Brassica napus (Rape)
A0A1I8FYH8,Macrostomum lignano
A0A2E7UXN1,Deltaproteobacteria bacterium
A0A2G5CIT3,Aquilegia coerulea (Rocky mountain columbine)
A0A2K1KFM4,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A2N5KPT0,Actinomycetes bacterium
A0A2P2MZG8,Rhizophora mucronata (Asiatic mangrove)
A0A2P4XFY1,Phytophthora palmivora
A0A2W5XU59,Chloroflexota bacterium
A0A2Y9L8T1,Enhydra lutris kenyoni (northern sea otter)
A0A383VA10,Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)
A0A3P6BLN8,Brassica campestris (Field mustard)
A0A445L3B7,Glycine soja (Wild soybean)
A0A453MEJ3,Aegilops tauschii subsp. strangulata (Goatgrass)
A0A453T9F0,Aegilops tauschii subsp. strangulata (Goatgrass)
A0A498JTH6,Malus domestica (Apple) (Pyrus malus)
A0A4Q5WY92,Alphaproteobacteria bacterium
A0A5B6UPD2,Gossypium australe
A0A5B7ASG5,Davidia involucrata (Dove tree)
A0A5D6Y1U8,[Pythium] brassicae (nom. inval.)
A0A5J5TB22,Gossypium barbadense (Sea Island cotton) (Hibiscus barbadensis)
A0A6G0K9K1,Phytophthora fragariae
A0A6G0X7S7,Aphanomyces euteiches
A0A6P6V4L4,Coffea arabica (Arabian coffee)
A0A7C4TKK4,Actinomycetes bacterium
A0A7G2DYI6,Arabidopsis thaliana (Mouse-ear cress)
A0A7N2N1E6,Quercus lobata (Valley oak)
A0A7S0XQK2,Hemiselmis andersenii (Cryptophyte alga)
A0A804JY60,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis)
A0A835SZJ1,Chlamydomonas schloesseri
A0A835XZ67,Edaphochlamys debaryana
A0A835YFM1,Edaphochlamys debaryana
D8SWA5,Selaginella moellendorffii (Spikemoss)
F4I690,Arabidopsis thaliana (Mouse-ear cress)
K0SQH2,Thalassiosira oceanica (Marine diatom)
M1BCT6,Solanum tuberosum (Potato)
M4DIK8,Brassica campestris (Field mustard)
Q10AX2,Oryza sativa subsp. japonica (Rice)
W1P370,Amborella trichopoda
A0A4S2KNE6,Temnothorax longispinosus
A0A066VRZ4,Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)
A0A090MYJ6,Strongyloides ratti (Parasitic roundworm)
A0A3B4BNI9,Periophthalmus magnuspinnatus
A0A6G1F6W8,Oryza meyeriana var. granulata
A0A6J2WVI2,Chanos chanos (Milkfish) (Mugil chanos)
A0A7J8ADU1,Rhinolophus ferrumequinum (Greater horseshoe bat)
A0A7K8DZY8,Leucopsar rothschildi (Bali myna) (Rothschild's mynah)
A0A836D7E9,Ovis aries (Sheep)
S8E253,Genlisea aurea
V4KSW7,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum)
A0A023ELN3,Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)
A0A061E653,Theobroma cacao (Cacao) (Cocoa)
A0A068V963,Coffea canephora (Robusta coffee)
A0A0K9PQK5,Zostera marina (Eelgrass)
A0A0W8D2K8,Phytophthora nicotianae (Potato buckeye rot agent) (Phytophthora parasitica)
A0A1D1Z7C2,Anthurium amnicola
A0A1Q9DVP0,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)
A0A2C9UUF9,Manihot esculenta (Cassava) (Jatropha manihot)
A0A2I4FD84,Juglans regia (English walnut)
A0A2P6V3X7,Micractinium conductrix
A0A383VUS0,Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)
A0A3N7EYI0,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)
A0A3P6FFC5,Brassica oleracea (Wild cabbage)
A0A493SSB5,Anas platyrhynchos platyrhynchos (Northern mallard)
A0A537BTB5,Betaproteobacteria bacterium
A0A5D3CPB7,Cucumis melo var. makuwa (Oriental melon)
A0A5E4F5Q3,Prunus dulcis (Almond) (Amygdalus dulcis)
A0A5J4XUY7,Trebouxia sp. A1-2
A0A5N6QFS2,Carpinus fangiana
A0A6D2J8D1,Microthlaspi erraticum
A0A6H5J814,Ectocarpus sp. CCAP 1310/34
A0A6J0PDZ5,Elaeis guineensis var. tenera (Oil palm)
A0A6U9PA14,Picocystis salinarum
A0A7C9EWV1,Opuntia streptacantha (Prickly pear cactus) (Opuntia cardona)
A0A7R9Z494,Chlamydomonas euryale
A0A7S0T8V4,Ostreococcus mediterraneus
A0A7S1XFP0,Compsopogon caeruleus
A0A7S2XP63,Attheya septentrionalis
A0A7X1ZHD4,Roseospira navarrensis
A0A803R022,Cannabis sativa (Hemp) (Marijuana)
A0A812PRZ6,Symbiodinium natans
A0A818XD90,Adineta steineri
A0A835U902,Vanilla planifolia (Vanilla)
A0A835XVI5,Edaphochlamys debaryana
M2W571,Galdieria sulphuraria (Red alga)
V4KKD7,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum)
W2R4X2,Phytophthora nicotianae (strain INRA-310) (Phytophthora parasitica)
Q08001,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
A0A0E0HLF5,Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)
A0A1A5ZXI7,Kwoniella dejecticola CBS 10117
A0A1D6LBB0,Zea mays (Maize)
A0A6B0RMA6,Bos mutus (wild yak)
A0A6P8QFN7,Geotrypetes seraphini (Gaboon caecilian) (Caecilia seraphini)
A0A024UND3,Aphanomyces invadans
A0A078K0U1,Brassica napus (Rape)
A0A0E0QZW9,Oryza rufipogon (Brownbeard rice) (Asian wild rice)
A0A0N5C9W8,Strongyloides papillosus (Intestinal threadworm)
A0A117PN67,Streptomyces pseudovenezuelae
A0A1D1YE41,Anthurium amnicola
A0A1D2AAM1,Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)
A0A1E5ULF9,Dichanthelium oligosanthes
A0A1I3U3I4,Halobacillus dabanensis
A0A1Y1IAU5,Klebsormidium nitens (Green alga) (Ulothrix nitens)
A0A2D5H9E3,Novosphingobium sp
A0A2U1M1T1,Artemisia annua (Sweet wormwood)
A0A2Y9PW85,Delphinapterus leucas (Beluga whale)
A0A327KX22,Rhodoplanes elegans
A0A382NBQ4,marine metagenome
A0A3B3W0B4,Poecilia latipinna (sailfin molly)
A0A3M1P562,Cyanobacteria bacterium J069
A0A3P6BF08,Brassica campestris (Field mustard)
A0A3P6GID3,Brassica oleracea (Wild cabbage)
A0A4P5TL26,Bacteroidota bacterium
A0A4S8IP94,Musa balbisiana (Banana)
A0A4U5QTH5,Populus alba (White poplar)
A0A507EHA1,Powellomyces hirtus
A0A5A7V2I7,Cucumis melo var. makuwa (Oriental melon)
A0A5C7HHS1,Acer yangbiense
A0A5J4Z647,Porphyridium purpureum (Red alga) (Porphyridium cruentum)
A0A5J5APX5,Nyssa sinensis
A0A5K1BB04,Nymphaea colorata (pocket water lily)
A0A6A3D8W0,Hibiscus syriacus (Rose of Sharon)
A0A6J0PGH7,Elaeis guineensis var. tenera (Oil palm)
A0A6P5WYF7,Durio zibethinus (Durian)
A0A7I8KTH4,Spirodela intermedia (Intermediate duckweed)
A0A7J0EZ40,Actinidia rufa
A0A7J7DC80,Tripterygium wilfordii (Thunder God vine)
A0A7J8LES1,Gossypium lobatum
A0A7S0DAI9,Micromonas pusilla (Picoplanktonic green alga) (Chromulina pusilla)
A0A803SL98,Anolis carolinensis (Green anole) (American chameleon)
A0A835YK38,Edaphochlamys debaryana
A0A843WWK9,Colocasia esculenta (Wild taro) (Arum esculentum)
E1ZBV3,Chlorella variabilis (Green alga)
J3LUL0,Oryza brachyantha (malo sina)
Q9ZUD2,Arabidopsis thaliana (Mouse-ear cress)
O42976,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
A0A091E6M5,Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)
A0A1X2G8Z5,Hesseltinella vesiculosa
A0A1X6NJG9,Porphyra umbilicalis (Purple laver) (Red alga)
A0A672UYS9,Strigops habroptila (Kakapo)
A0A6J3AQX8,Vicugna pacos (Alpaca) (Lama pacos)
A0A6V7P7J1,Ananas comosus var. bracteatus
G0USD0,Trypanosoma congolense (strain IL3000)
M7C0E4,Chelonia mydas (Green sea-turtle) (Chelonia agassizi)
T1PHV0,Musca domestica (House fly)
W1NW81,Amborella trichopoda
A0A059AJ80,Eucalyptus grandis (Flooded gum)
A0A061DL00,Theobroma cacao (Cacao) (Cocoa)
A0A061S622,Tetraselmis sp. GSL018
A0A176VJI2,Marchantia polymorpha subsp. ruderalis
A0A176VNE1,Marchantia polymorpha subsp. ruderalis
A0A176WA50,Marchantia polymorpha subsp. ruderalis
A0A176WGY9,Marchantia polymorpha subsp. ruderalis
A0A1S4ADV3,Nicotiana tabacum (Common tobacco)
A0A2A9M6Y4,Besnoitia besnoiti
A0A2K1KDT6,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A2P6Q7C6,Rosa chinensis (China rose)
A0A2T4VBK6,Vitiosangium sp. (strain GDMCC 1.1324)
A0A2V0P4N3,Raphidocelis subcapitata
A0A371E2Y9,Mucuna pruriens (Velvet bean) (Dolichos pruriens)
A0A371E9L2,Mucuna pruriens (Velvet bean) (Dolichos pruriens)
A0A3M1XQW3,Calditrichota bacterium
A0A453PL72,Aegilops tauschii subsp. strangulata (Goatgrass)
A0A537Z893,Actinomycetes bacterium
A0A5B8MST2,Chloropicon primus
A0A5P1ET14,Asparagus officinalis (Garden asparagus)
A0A699YBC4,Haematococcus lacustris (Green alga) (Haematococcus pluvialis)
A0A6A6LUH7,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)
A0A6J1H581,Cucurbita moschata (Winter crookneck squash) (Cucurbita pepo var. moschata)
A0A6P8E8I1,Punica granatum (Pomegranate)
A0A6P9FAI4,Juglans regia (English walnut)
A0A6V7Q996,Ananas comosus var. bracteatus
A0A7N0RD58,Kalanchoe fedtschenkoi (Lavender scallops) (South American air plant)
A0A7S2G035,Dictyocha speculum
A0A803KNF3,Chenopodium quinoa (Quinoa)
A0A803TPH2,Anolis carolinensis (Green anole) (American chameleon)
A0A804M704,Zea mays (Maize)
A0A804M708,Zea mays (Maize)
A0A835DGA6,Tetracentron sinense (Spur-leaf)
A0A843TU58,Colocasia esculenta (Wild taro) (Arum esculentum)
A0E2T2,Paramecium tetraurelia
M4D7C3,Brassica campestris (Field mustard)
W5P8J8,Ovis aries (Sheep)
W9QNA8,Morus notabilis
A0A0K8UN33,Bactrocera latifrons (Malaysian fruit fly) (Chaetodacus latifrons)
A0A120K222,Eremothecium sinecaudum
A0A1X2GM15,Hesseltinella vesiculosa
A0A2R6WI97,Marchantia polymorpha (Common liverwort) (Marchantia aquatica)
A0A316VTA5,Ceraceosorus guamensis
A0A3Q7RKY2,Vulpes vulpes (Red fox)
A0A423SN60,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)
A0A672UX81,Strigops habroptila (Kakapo)
A0A6J5WWF5,Prunus armeniaca (Apricot) (Armeniaca vulgaris)
A0A843W3B3,Colocasia esculenta (Wild taro) (Arum esculentum)
M9MGL1,Pseudozyma antarctica (strain T-34) (Yeast) (Candida antarctica)
A0A199W3L6,Ananas comosus (Pineapple) (Ananas ananas)
A0A218WVG9,Punica granatum (Pomegranate)
A0A287A5S1,Sus scrofa (Pig)
A0A2I0TIZ5,Limosa lapponica baueri
A0A2N9G8F4,Fagus sylvatica (Beechnut)
A0A2P6VR38,Micractinium conductrix
A0A2T2R6U5,Actinobacteria bacterium QS_8_72_14
A0A318NDS6,Micromonospora arborensis
A0A3B8HCU5,Syntrophobacteraceae bacterium
A0A3L6QT26,Panicum miliaceum (Proso millet) (Broomcorn millet)
A0A3R7H4V2,Phytophthora kernoviae
A0A480QTH2,Sus scrofa (Pig)
A0A4S8IRK6,Musa balbisiana (Banana)
A0A4X2LQF1,Vombatus ursinus (Common wombat)
A0A5J4XEP4,Trebouxia sp. A1-2
A0A5J4XX96,Trebouxia sp. A1-2
A0A662YFY8,Nothophytophthora sp. (strain Chile5)
A0A6I9T7N5,Sesamum indicum (Oriental sesame) (Sesamum orientale)
A0A6J1EGQ9,Cucurbita moschata (Winter crookneck squash) (Cucurbita pepo var. moschata)
A0A6V1KTJ0,Heterosigma akashiwo (Chromophytic alga) (Heterosigma carterae)
A0A7J0EY14,Actinidia rufa
A0A7J5ZF45,Dissostichus mawsoni (Antarctic cod)
A0A7J6FM78,Cannabis sativa (Hemp) (Marijuana)
A0A7S2SEL4,Rhizochromulina marina
A0A804PMZ1,Zea mays (Maize)
A0A813JSD1,Polarella glacialis (Dinoflagellate)
A0A816MLH1,Brassica napus (Rape)
A0A816YSU5,Brassica napus (Rape)
A0A847FTK6,Anaerolineaceae bacterium
B7FVS2,Phaeodactylum tricornutum (strain CCAP 1055/1)
D8TL00,Volvox carteri f. nagariensis
F6TUB9,Equus caballus (Horse)
A0A1X2I9Q4,Absidia repens
A0A6A5HSP9,Caenorhabditis remanei (Caenorhabditis vulgaris)
A0A7R9DK58,Timema poppense (Walking stick)
A0A803V9P5,Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)
B6K0D6,Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast)
G0NZ98,Caenorhabditis brenneri (Nematode worm)
G8BS45,Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5) (Yeast) (Fabospora phaffii)
W3VU37,Moesziomyces aphidis (Pseudozyma aphidis)
A0A024TR91,Aphanomyces invadans
A0A024TRB3,Aphanomyces invadans
A0A067H4I6,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)
A0A077ZWA1,Stylonychia lemnae (Ciliate)
A0A0D2VSY0,Capsaspora owczarzaki (strain ATCC 30864)
A0A0D3D732,Brassica oleracea var. oleracea
A0A0G4H7W0,Vitrella brassicaformis (strain CCMP3155)
A0A199W7Z3,Ananas comosus (Pineapple) (Ananas ananas)
A0A1D1Z4P5,Anthurium amnicola
A0A1E5UR43,Dichanthelium oligosanthes
A0A251PE90,Prunus persica (Peach) (Amygdalus persica)
A0A2G2YVW2,Capsicum annuum (Capsicum pepper)
A0A2G5CIR9,Aquilegia coerulea (Rocky mountain columbine)
A0A2U1NA69,Artemisia annua (Sweet wormwood)
A0A383WIF1,Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)
A0A388K0Q5,Chara braunii (Braun's stonewort)
A0A3N5XSB0,Acidobacteriota bacterium
A0A445FSX7,Glycine soja (Wild soybean)
A0A453MEJ7,Aegilops tauschii subsp. strangulata (Goatgrass)
A0A4D9CWA6,Nannochloropsis salina CCMP1776
A0A4D9CZC4,Nannochloropsis salina CCMP1776
A0A5A7PHL9,Striga asiatica (Asiatic witchweed) (Buchnera asiatica)
A0A5D3BW38,Cucumis melo var. makuwa (Oriental melon)
A0A5J9TDZ0,Eragrostis curvula (weeping love grass)
A0A5N5L687,Salix brachista
A0A7J7G3T1,Camellia sinensis (Tea plant) (Thea sinensis)
A0A7S0ZB29,Timspurckia oligopyrenoides
A0A7S4J6B0,Prymnesium polylepis
A0A811NCD3,Miscanthus lutarioriparius
A0A811NTD6,Miscanthus lutarioriparius
A0A812K134,Symbiodinium natans
A0A812WL88,Symbiodinium sp. CCMP2456
A0A816VJN7,Brassica napus (Rape)
I0YS99,Coccomyxa subellipsoidea (strain C-169) (Green microalga)
I0YV38,Coccomyxa subellipsoidea (strain C-169) (Green microalga)
M7ZWZ9,Triticum urartu (Red wild einkorn) (Crithodium urartu)
R7QSA5,Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa)
U6MIT4,Eimeria necatrix
W1PF74,Amborella trichopoda
W7KS28,Cytobacillus firmus DS1
A0A0Q9WAI7,Drosophila virilis (Fruit fly)
A0A1I8N1Z4,Musca domestica (House fly)
A0A1I8PK73,Stomoxys calcitrans (Stable fly) (Conops calcitrans)
A0A226EUH7,Folsomia candida (Springtail)
A0A267FMN8,Macrostomum lignano
A0A2K6L1R2,Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)
A0A6J1LUE2,Drosophila hydei (Fruit fly)
A0A6S7GTF8,Paramuricea clavata (Red gorgonian) (Violescent sea-whip)
A0A7S3WU34,Strombidinopsis acuminata
K1PQ66,Magallana gigas (Pacific oyster) (Crassostrea gigas)
Q75CZ1,Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)
A0A078GK75,Brassica napus (Rape)
A0A0D2X140,Capsaspora owczarzaki (strain ATCC 30864)
A0A0D3DR32,Brassica oleracea var. oleracea
A0A0E2BQL7,Leptospira santarosai str. MOR084
A0A0N4UX34,Enterobius vermicularis (Human pinworm)
A0A178V0J7,Arabidopsis thaliana (Mouse-ear cress)
A0A178VPX4,Arabidopsis thaliana (Mouse-ear cress)
A0A1Q9DL71,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)
A0A2A8VB18,Bacillus sp. AFS015802
A0A2N9IQ63,Fagus sylvatica (Beechnut)
A0A2P6U306,Chlorella sorokiniana (Freshwater green alga)
A0A314YCJ2,Prunus yedoensis var. nudiflora
A0A397HA49,Diversispora epigaea
A0A444XXB1,Arachis hypogaea (Peanut)
A0A484MFM6,Cuscuta campestris
A0A5A7PIQ6,Striga asiatica (Asiatic witchweed) (Buchnera asiatica)
A0A5N5GAP2,Pyrus ussuriensis x Pyrus communis
A0A654ECM3,Arabidopsis thaliana (Mouse-ear cress)
A0A654EYA8,Arabidopsis thaliana (Mouse-ear cress)
A0A6A3CXY4,Hibiscus syriacus (Rose of Sharon)
A0A6A5B8W1,Naegleria fowleri (Brain eating amoeba)
A0A6A5CC68,Naegleria fowleri (Brain eating amoeba)
A0A6G9YGN6,Nocardia arthritidis
A0A6I8SS03,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
A0A6U3TX07,Ditylum brightwellii
A0A7I4B7P3,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A7I4B9Y5,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A7J0H0L7,Actinidia rufa
A0A7N2KQL8,Quercus lobata (Valley oak)
A0A7S1TBJ8,Compsopogon caeruleus
A0A804JIA3,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis)
A0A835Y311,Edaphochlamys debaryana
B9G2X5,Oryza sativa subsp. japonica (Rice)
K1Q2R9,Magallana gigas (Pacific oyster) (Crassostrea gigas)
A0A0J9U5L5,Plasmodium vivax North Korean
A0A0Q9WGI6,Drosophila virilis (Fruit fly)
A0A103YHV3,Cynara cardunculus var. scolymus (Globe artichoke) (Cynara scolymus)
A0A1A9UIM5,Glossina austeni (Savannah tsetse fly)
A0A1A9UX85,Glossina austeni (Savannah tsetse fly)
A0A1X0NYV9,Trypanosoma theileri
A0A1X7UR26,Amphimedon queenslandica (Sponge)
A0A226NDY8,Callipepla squamata (Scaled quail)
A0A314Z4Q0,Prunus yedoensis var. nudiflora
A0A397UI84,Gigaspora rosea
A0A3M6UB36,Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)
A0A3Q7S6S3,Callorhinus ursinus (Northern fur seal)
A0A6J0E199,Peromyscus maniculatus bairdii (Prairie deer mouse)
A0A6J1LS73,Drosophila hydei (Fruit fly)
A0A7J6SDF1,Perkinsus olseni (Perkinsus atlanticus)
A0A816UKU0,Brassica napus (Rape)
C4R365,Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris)
M9NE71,Drosophila melanogaster (Fruit fly)
A0A0U9HIE2,Klebsormidium nitens (Green alga) (Ulothrix nitens)
A0A150GS54,Gonium pectorale (Green alga)
A0A1X7U1C9,Amphimedon queenslandica (Sponge)
A0A1Y1HZZ8,Klebsormidium nitens (Green alga) (Ulothrix nitens)
A0A1Y1WPR9,Anaeromyces robustus
A0A1Y5ICW7,Ostreococcus tauri
A0A2I0WI36,Dendrobium catenatum
A0A438EEF8,Vitis vinifera (Grape)
A0A4S4D616,Camellia sinensis var. sinensis
A0A4S4EZJ5,Camellia sinensis var. sinensis
A0A4Y1RAT7,Prunus dulcis (Almond) (Amygdalus dulcis)
A0A5D6XPX7,[Pythium] brassicae (nom. inval.)
A0A644UK44,bioreactor metagenome
A0A662X404,Nothophytophthora sp. (strain Chile5)
A0A6A6K5A5,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)
A0A6V3JW50,Lotharella globosa
A0A7J6FHU1,Cannabis sativa (Hemp) (Marijuana)
A0A7J7NE80,Kingdonia uniflora
A0A7R9G0G5,Timema shepardi (Walking stick)
A0A7R9UB98,Pinguiococcus pyrenoidosus
A0A7V8YIR7,Pseudonocardiales bacterium
A0A816UMA4,Brassica napus (Rape)
A0A817AP96,Brassica napus (Rape)
A0A830H635,Pycnococcus provasolii
D2VSP1,Naegleria gruberi (Amoeba)
K7KR90,Glycine max (Soybean) (Glycine hispida)
Q6K2P1,Oryza sativa subsp. japonica (Rice)
U6N054,Eimeria necatrix
W7TTP4,Nannochloropsis gaditana
A0A058Z8A8,Fonticula alba (Slime mold)
A0A086QFP7,Toxoplasma gondii VAND
A0A0F7UES4,Neospora caninum (strain Liverpool)
A0A0K8VS41,Bactrocera latifrons (Malaysian fruit fly) (Chaetodacus latifrons)
A0A0R1DIV9,Drosophila yakuba (Fruit fly)
A0A1X6NXX1,Porphyra umbilicalis (Purple laver) (Red alga)
A0A2A9MPA0,Besnoitia besnoiti
A0A2G8YAZ1,Toxoplasma gondii COUG
A0A317XSW2,Testicularia cyperi
A0A6J2U672,Drosophila lebanonensis (Fruit fly) (Scaptodrosophila lebanonensis)
A0A7D9H4C1,Dekkera bruxellensis (Brettanomyces custersii)
A0A833VZ32,Frieseomelitta varia
F2U4W6,Salpingoeca rosetta (strain ATCC 50818 / BSB-021)
A0A024TT95,Aphanomyces invadans
A0A024VBX5,Plasmodium falciparum Vietnam Oak-Knoll (FVO)
A0A0D2X5E9,Capsaspora owczarzaki (strain ATCC 30864)
A0A0H5QW28,Spongospora subterranea
A0A150GHZ7,Gonium pectorale (Green alga)
A0A175YIK7,Daucus carota subsp. sativus (Carrot)
A0A2E8S024,Myxococcales bacterium
A0A2I0B2L1,Apostasia shenzhenica
A0A2P6VII9,Micractinium conductrix
A0A2R6RJN3,Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)
A0A388JRQ4,Chara braunii (Braun's stonewort)
A0A3R7GZX1,Clonorchis sinensis (Chinese liver fluke)
A0A438C1U6,Vitis vinifera (Grape)
A0A453KMH0,Aegilops tauschii subsp. strangulata (Goatgrass)
A0A4S4ELL3,Camellia sinensis var. sinensis
A0A4S4EQQ7,Camellia sinensis var. sinensis
A0A4Z2BVP3,Takifugu bimaculatus
A0A557SVT6,Candidatus Nitrosocosmicus arcticus
A0A5A8CZZ0,Cafeteria roenbergensis (Marine flagellate)
A0A5D6YP45,[Pythium] brassicae (nom. inval.)
A0A5J4YPE2,Porphyridium purpureum (Red alga) (Porphyridium cruentum)
A0A5J5VW38,Gossypium barbadense (Sea Island cotton) (Hibiscus barbadensis)
A0A662XJY6,Nothophytophthora sp. (strain Chile5)
A0A6A6KX67,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)
A0A7G2DW48,Arabidopsis thaliana (Mouse-ear cress)
A0A7J0END3,Actinidia rufa
A0A7J8WQU6,Gossypium aridum (American cotton) (Erioxylum aridum)
A0A7S0ZCD8,Timspurckia oligopyrenoides
A0A7S4HRQ4,Odontella aurita
A0A835KY21,Digitaria exilis
D7FLK5,Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)
K3W9K9,Globisporangium ultimum (strain ATCC 200006 / CBS 805.95 / DAOM BR144) (Pythium ultimum)
U3KN19,Oryctolagus cuniculus (Rabbit)
